fecha,hora,dia_semana,linea,color_linea,estacion,latitud,longitud,pasajeros,saturacion
2025-10-27,12,Lunes,Roja,#E63946,Ceja El Alto Norte,-16.496184867052147,-68.1155014155417,715,89.4
2025-10-27,13,Lunes,Roja,#E63946,Terminal Rojo Sur,-16.530846040180343,-68.11942049709417,731,91.4
2025-10-27,13,Lunes,Roja,#E63946,Parque Urbano,-16.519140604695316,-68.11438375924087,409,51.1
2025-10-27,13,Lunes,Roja,#E63946,Pura Pura,-16.503257078819626,-68.11239265584621,473,59.1
2025-10-27,13,Lunes,Roja,#E63946,Ceja El Alto Norte,-16.49621488200302,-68.11492131551617,721,90.1
2025-10-27,14,Lunes,Roja,#E63946,Terminal Rojo Sur,-16.529207817400152,-68.11936399305006,639,79.9
2025-10-27,14,Lunes,Roja,#E63946,Parque Urbano,-16.520544129674917,-68.11514578442274,295,36.9
2025-10-27,14,Lunes,Roja,#E63946,Pura Pura,-16.503278538833488,-68.11398609573894,366,45.8
2025-10-27,14,Lunes,Roja,#E63946,Ceja El Alto Norte,-16.497165177993704,-68.11555578437905,587,73.4
2025-10-27,15,Lunes,Roja,#E63946,Terminal Rojo Sur,-16.53035359413596,-68.11896241875651,616,77.0
2025-10-27,15,Lunes,Roja,#E63946,Parque Urbano,-16.520272740795242,-68.11405643583456,330,41.2
2025-10-27,15,Lunes,Roja,#E63946,Pura Pura,-16.50449643540835,-68.11300550298822,354,44.2
2025-10-27,15,Lunes,Roja,#E63946,Ceja El Alto Norte,-16.497430319011244,-68.11592622610529,511,63.9
2025-10-27,16,Lunes,Roja,#E63946,Terminal Rojo Sur,-16.529994641953543,-68.1198970424975,639,79.9
2025-10-27,16,Lunes,Roja,#E63946,Parque Urbano,-16.519183468228068,-68.11552087621867,330,41.2
2025-10-27,16,Lunes,Roja,#E63946,Pura Pura,-16.504021094479445,-68.11202869909178,316,39.5
2025-10-27,16,Lunes,Roja,#E63946,Ceja El Alto Norte,-16.49665572890519,-68.11447676076934,571,71.4
2025-10-27,17,Lunes,Roja,#E63946,Terminal Rojo Sur,-16.529735388338814,-68.11873294057848,883,100.0
2025-10-27,17,Lunes,Roja,#E63946,Parque Urbano,-16.52081942045989,-68.11432939500881,531,66.4
2025-10-27,17,Lunes,Roja,#E63946,Pura Pura,-16.504626962979202,-68.11391844971689,497,62.1
2025-10-27,17,Lunes,Roja,#E63946,Ceja El Alto Norte,-16.496644871276317,-68.11596682434214,945,100.0
2025-10-27,18,Lunes,Roja,#E63946,Terminal Rojo Sur,-16.530547008449606,-68.11870965441918,899,100.0
2025-10-27,18,Lunes,Roja,#E63946,Parque Urbano,-16.519618124523795,-68.11522652930739,462,57.8
2025-10-27,18,Lunes,Roja,#E63946,Pura Pura,-16.50472495811171,-68.1133178672979,579,72.4
2025-10-27,18,Lunes,Roja,#E63946,Ceja El Alto Norte,-16.496150612763444,-68.11424532129324,792,99.0
2025-10-27,19,Lunes,Roja,#E63946,Terminal Rojo Sur,-16.5298895983768,-68.11894069884329,949,100.0
2025-10-27,19,Lunes,Roja,#E63946,Parque Urbano,-16.520813794464388,-68.11420556848408,457,57.1
2025-10-27,19,Lunes,Roja,#E63946,Pura Pura,-16.503733797085456,-68.1133219404179,555,69.4
2025-10-27,19,Lunes,Roja,#E63946,Ceja El Alto Norte,-16.49654808864226,-68.11420577948009,828,100.0
2025-10-27,20,Lunes,Roja,#E63946,Terminal Rojo Sur,-16.529440248908287,-68.11871593670769,563,70.4
2025-10-27,20,Lunes,Roja,#E63946,Parque Urbano,-16.520676742571812,-68.11420289162294,252,31.5
2025-10-27,20,Lunes,Roja,#E63946,Pura Pura,-16.504981605896766,-68.11379705691427,297,37.1
2025-10-27,20,Lunes,Roja,#E63946,Ceja El Alto Norte,-16.497989876832307,-68.11567838389716,529,66.1
2025-10-27,21,Lunes,Roja,#E63946,Terminal Rojo Sur,-16.53055146138108,-68.1185756415573,428,53.5
2025-10-27,21,Lunes,Roja,#E63946,Parque Urbano,-16.520349200603683,-68.11450701718977,215,26.9
2025-10-27,21,Lunes,Roja,#E63946,Pura Pura,-16.503301553179014,-68.1126847742154,244,30.5
2025-10-27,21,Lunes,Roja,#E63946,Ceja El Alto Norte,-16.497812650464343,-68.11526456839388,417,52.1
2025-10-27,22,Lunes,Roja,#E63946,Terminal Rojo Sur,-16.530512020713243,-68.1180539788905,176,22.0
2025-10-27,22,Lunes,Roja,#E63946,Parque Urbano,-16.519215906889645,-68.114737722748,105,13.1
2025-10-27,22,Lunes,Roja,#E63946,Pura Pura,-16.50399472581379,-68.11284619223075,118,14.8
2025-10-27,22,Lunes,Roja,#E63946,Ceja El Alto Norte,-16.497609514024404,-68.11455509576948,189,23.6
2025-10-28,5,Martes,Roja,#E63946,Terminal Rojo Sur,-16.529092142845997,-68.11817027121955,82,10.2
2025-10-28,5,Martes,Roja,#E63946,Parque Urbano,-16.520969086766943,-68.11414336287481,40,5.0
2025-10-28,5,Martes,Roja,#E63946,Pura Pura,-16.503066690361916,-68.11207276004582,40,5.0
2025-10-28,5,Martes,Roja,#E63946,Ceja El Alto Norte,-16.49741110221586,-68.11522980454279,80,10.0
2025-10-28,6,Martes,Roja,#E63946,Terminal Rojo Sur,-16.53036615598969,-68.11966101450663,515,64.4
2025-10-28,6,Martes,Roja,#E63946,Parque Urbano,-16.51912769045168,-68.11460794040664,270,33.8
2025-10-28,6,Martes,Roja,#E63946,Pura Pura,-16.50480564701246,-68.1127699855466,271,33.9
2025-10-28,6,Martes,Roja,#E63946,Ceja El Alto Norte,-16.497719831969526,-68.11496334069527,534,66.8
2025-10-28,7,Martes,Roja,#E63946,Terminal Rojo Sur,-16.529595031832027,-68.11928101769756,978,100.0
2025-10-28,7,Martes,Roja,#E63946,Parque Urbano,-16.519381277689043,-68.11437977321064,495,61.9
2025-10-28,7,Martes,Roja,#E63946,Pura Pura,-16.50317351889489,-68.11297731520227,585,73.1
2025-10-28,7,Martes,Roja,#E63946,Ceja El Alto Norte,-16.496403409642067,-68.11470007213843,924,100.0
2025-10-28,8,Martes,Roja,#E63946,Terminal Rojo Sur,-16.52940841466113,-68.11821998931636,1105,100.0
2025-10-28,8,Martes,Roja,#E63946,Parque Urbano,-16.52024883409472,-68.11581203612032,566,70.8
2025-10-28,8,Martes,Roja,#E63946,Pura Pura,-16.504928115452408,-68.11306880396373,609,76.1
2025-10-28,8,Martes,Roja,#E63946,Ceja El Alto Norte,-16.497426917495744,-68.11481833347885,1055,100.0
2025-10-28,9,Martes,Roja,#E63946,Terminal Rojo Sur,-16.52995551347989,-68.1184600128938,639,79.9
2025-10-28,9,Martes,Roja,#E63946,Parque Urbano,-16.519754219048362,-68.11582930507001,376,47.0
2025-10-28,9,Martes,Roja,#E63946,Pura Pura,-16.503937290736864,-68.11291872975679,356,44.5
2025-10-28,9,Martes,Roja,#E63946,Ceja El Alto Norte,-16.496547817332555,-68.11404829584107,749,93.6
2025-10-28,10,Martes,Roja,#E63946,Terminal Rojo Sur,-16.530354087054118,-68.11840962761046,599,74.9
2025-10-28,10,Martes,Roja,#E63946,Parque Urbano,-16.520122057158588,-68.11584308723731,317,39.6
2025-10-28,10,Martes,Roja,#E63946,Pura Pura,-16.503074703170647,-68.11232803975898,292,36.5
2025-10-28,10,Martes,Roja,#E63946,Ceja El Alto Norte,-16.49718209411117,-68.11565341135986,631,78.9
2025-10-28,11,Martes,Roja,#E63946,Terminal Rojo Sur,-16.529570808154602,-68.11867960524657,486,60.8
2025-10-28,11,Martes,Roja,#E63946,Parque Urbano,-16.519090269438674,-68.1145242061666,256,32.0
2025-10-28,11,Martes,Roja,#E63946,Pura Pura,-16.503776558507532,-68.11316079987515,278,34.8
2025-10-28,11,Martes,Roja,#E63946,Ceja El Alto Norte,-16.4972880546427,-68.11448430777907,443,55.4
2025-10-28,12,Martes,Roja,#E63946,Terminal Rojo Sur,-16.530767854718988,-68.11990799471596,524,65.5
2025-10-28,12,Martes,Roja,#E63946,Parque Urbano,-16.519289078831978,-68.11459268428123,302,37.8
2025-10-28,12,Martes,Roja,#E63946,Pura Pura,-16.5048043316787,-68.11301676824976,348,43.5
2025-10-28,12,Martes,Roja,#E63946,Ceja El Alto Norte,-16.49765359626018,-68.11513229670152,609,76.1
2025-10-28,13,Martes,Roja,#E63946,Terminal Rojo Sur,-16.530909391980458,-68.11925077477075,821,100.0
2025-10-28,13,Martes,Roja,#E63946,Parque Urbano,-16.519993727482838,-68.11428702031762,468,58.5
2025-10-28,13,Martes,Roja,#E63946,Pura Pura,-16.504674131145837,-68.1138588625052,472,59.0
2025-10-28,13,Martes,Roja,#E63946,Ceja El Alto Norte,-16.497946977378916,-68.11482844883744,823,100.0
2025-10-28,14,Martes,Roja,#E63946,Terminal Rojo Sur,-16.52984905164425,-68.11922366014758,600,75.0
2025-10-28,14,Martes,Roja,#E63946,Parque Urbano,-16.520083494219016,-68.11490876642137,315,39.4
2025-10-28,14,Martes,Roja,#E63946,Pura Pura,-16.5042277947244,-68.11207761887235,343,42.9
2025-10-28,14,Martes,Roja,#E63946,Ceja El Alto Norte,-16.497608417730422,-68.11586127739824,594,74.2
2025-10-28,15,Martes,Roja,#E63946,Terminal Rojo Sur,-16.530362048739413,-68.11831024937806,488,61.0
2025-10-28,15,Martes,Roja,#E63946,Parque Urbano,-16.51937106303482,-68.11543629045045,274,34.2
2025-10-28,15,Martes,Roja,#E63946,Pura Pura,-16.503606525669273,-68.11274211430644,283,35.4
2025-10-28,15,Martes,Roja,#E63946,Ceja El Alto Norte,-16.496529857912392,-68.11439303813923,624,78.0
2025-10-28,16,Martes,Roja,#E63946,Terminal Rojo Sur,-16.530645120912443,-68.11849877049671,575,71.9
2025-10-28,16,Martes,Roja,#E63946,Parque Urbano,-16.519018989716,-68.11517476464617,384,48.0
2025-10-28,16,Martes,Roja,#E63946,Pura Pura,-16.503447174078516,-68.1133183929195,338,42.2
2025-10-28,16,Martes,Roja,#E63946,Ceja El Alto Norte,-16.496283174496313,-68.11514201194524,695,86.9
2025-10-28,17,Martes,Roja,#E63946,Terminal Rojo Sur,-16.52919489418664,-68.11898949525511,796,99.5
2025-10-28,17,Martes,Roja,#E63946,Parque Urbano,-16.52035990079794,-68.114208953543,567,70.9
2025-10-28,17,Martes,Roja,#E63946,Pura Pura,-16.504978324697042,-68.11218923604716,499,62.4
2025-10-28,17,Martes,Roja,#E63946,Ceja El Alto Norte,-16.497361372724818,-68.1140998760659,793,99.1
2025-10-28,18,Martes,Roja,#E63946,Terminal Rojo Sur,-16.529853124223756,-68.11873632557565,1146,100.0
2025-10-28,18,Martes,Roja,#E63946,Parque Urbano,-16.520413578456605,-68.11534267090926,567,70.9
2025-10-28,18,Martes,Roja,#E63946,Pura Pura,-16.503495250941125,-68.11241684191255,606,75.8
2025-10-28,18,Martes,Roja,#E63946,Ceja El Alto Norte,-16.497817587793904,-68.11501115939059,1097,100.0
2025-10-28,19,Martes,Roja,#E63946,Terminal Rojo Sur,-16.529224591634485,-68.1192981699749,789,98.6
2025-10-28,19,Martes,Roja,#E63946,Parque Urbano,-16.520714016635893,-68.11447697873656,406,50.7
2025-10-28,19,Martes,Roja,#E63946,Pura Pura,-16.504797754647754,-68.11383178638776,475,59.4
2025-10-28,19,Martes,Roja,#E63946,Ceja El Alto Norte,-16.49785447398727,-68.11435627988142,851,100.0
2025-10-28,20,Martes,Roja,#E63946,Terminal Rojo Sur,-16.530837302438716,-68.11983032457184,551,68.9
2025-10-28,20,Martes,Roja,#E63946,Parque Urbano,-16.520251458408488,-68.11525871570586,339,42.4
2025-10-28,20,Martes,Roja,#E63946,Pura Pura,-16.503105502845234,-68.11202799787236,324,40.5
2025-10-28,20,Martes,Roja,#E63946,Ceja El Alto Norte,-16.49724748082894,-68.1158329985666,558,69.8
2025-10-28,21,Martes,Roja,#E63946,Terminal Rojo Sur,-16.52918729122981,-68.11977760503538,349,43.6
2025-10-28,21,Martes,Roja,#E63946,Parque Urbano,-16.520977292710466,-68.115062678716,203,25.4
2025-10-28,21,Martes,Roja,#E63946,Pura Pura,-16.504762364167465,-68.11376494750644,177,22.1
2025-10-28,21,Martes,Roja,#E63946,Ceja El Alto Norte,-16.49650791024147,-68.1148332624698,373,46.6
2025-10-28,22,Martes,Roja,#E63946,Terminal Rojo Sur,-16.530250258840955,-68.11942857582744,228,28.5
2025-10-28,22,Martes,Roja,#E63946,Parque Urbano,-16.52055280832296,-68.11407355492112,127,15.9
2025-10-28,22,Martes,Roja,#E63946,Pura Pura,-16.503060242346585,-68.1139136801761,97,12.1
2025-10-28,22,Martes,Roja,#E63946,Ceja El Alto Norte,-16.496944597781827,-68.11401407040776,224,28.0
2025-10-29,5,Miércoles,Roja,#E63946,Terminal Rojo Sur,-16.52995380431166,-68.11874120272373,90,11.2
2025-10-29,5,Miércoles,Roja,#E63946,Parque Urbano,-16.520090917870466,-68.11474488383983,48,6.0
2025-10-29,5,Miércoles,Roja,#E63946,Pura Pura,-16.50319768397902,-68.11390910723932,46,5.8
2025-10-29,5,Miércoles,Roja,#E63946,Ceja El Alto Norte,-16.496099177031848,-68.11421947243221,74,9.2
2025-10-29,6,Miércoles,Roja,#E63946,Terminal Rojo Sur,-16.529759734804397,-68.11944523763404,411,51.4
2025-10-29,6,Miércoles,Roja,#E63946,Parque Urbano,-16.52007260319012,-68.11529329554395,215,26.9
2025-10-29,6,Miércoles,Roja,#E63946,Pura Pura,-16.50484453072607,-68.11205121038466,244,30.5
2025-10-29,6,Miércoles,Roja,#E63946,Ceja El Alto Norte,-16.49660367657196,-68.1149278072673,477,59.6
2025-10-29,7,Miércoles,Roja,#E63946,Terminal Rojo Sur,-16.53067476612131,-68.118178145631,1009,100.0
2025-10-29,7,Miércoles,Roja,#E63946,Parque Urbano,-16.519100400173414,-68.11454856098322,599,74.9
2025-10-29,7,Miércoles,Roja,#E63946,Pura Pura,-16.50416351392742,-68.11213454303329,565,70.6
2025-10-29,7,Miércoles,Roja,#E63946,Ceja El Alto Norte,-16.49790956265979,-68.115947266051,1061,100.0
2025-10-29,8,Miércoles,Roja,#E63946,Terminal Rojo Sur,-16.52937889333844,-68.11802544774137,906,100.0
2025-10-29,8,Miércoles,Roja,#E63946,Parque Urbano,-16.519811738569295,-68.11523821828673,481,60.1
2025-10-29,8,Miércoles,Roja,#E63946,Pura Pura,-16.50331576215373,-68.11232334259057,614,76.8
2025-10-29,8,Miércoles,Roja,#E63946,Ceja El Alto Norte,-16.497170360995323,-68.11545318585614,932,100.0
2025-10-29,9,Miércoles,Roja,#E63946,Terminal Rojo Sur,-16.529110468540235,-68.11830070521864,800,100.0
2025-10-29,9,Miércoles,Roja,#E63946,Parque Urbano,-16.52009891172938,-68.1157416811697,391,48.9
2025-10-29,9,Miércoles,Roja,#E63946,Pura Pura,-16.5037876507311,-68.113542714389,480,60.0
2025-10-29,9,Miércoles,Roja,#E63946,Ceja El Alto Norte,-16.496763743519082,-68.11528367456393,778,97.2
2025-10-29,10,Miércoles,Roja,#E63946,Terminal Rojo Sur,-16.529656853608817,-68.1189593845982,481,60.1
2025-10-29,10,Miércoles,Roja,#E63946,Parque Urbano,-16.519959672997775,-68.11429563699936,336,42.0
2025-10-29,10,Miércoles,Roja,#E63946,Pura Pura,-16.503878124056932,-68.11224669279468,316,39.5
2025-10-29,10,Miércoles,Roja,#E63946,Ceja El Alto Norte,-16.4977319695431,-68.11594243464737,529,66.1
2025-10-29,11,Miércoles,Roja,#E63946,Terminal Rojo Sur,-16.530574071676984,-68.11972725704882,551,68.9
2025-10-29,11,Miércoles,Roja,#E63946,Parque Urbano,-16.520298824882385,-68.11482016462628,253,31.6
2025-10-29,11,Miércoles,Roja,#E63946,Pura Pura,-16.504125050155952,-68.11219168261101,287,35.9
2025-10-29,11,Miércoles,Roja,#E63946,Ceja El Alto Norte,-16.49697202102168,-68.1144326939745,495,61.9
2025-10-29,12,Miércoles,Roja,#E63946,Terminal Rojo Sur,-16.529755826599544,-68.11827527258251,689,86.1
2025-10-29,12,Miércoles,Roja,#E63946,Parque Urbano,-16.52070585303814,-68.11414682474967,461,57.6
2025-10-29,12,Miércoles,Roja,#E63946,Pura Pura,-16.504483511223402,-68.11308172848753,405,50.6
2025-10-29,12,Miércoles,Roja,#E63946,Ceja El Alto Norte,-16.497014763812015,-68.11534249677942,814,100.0
2025-10-29,13,Miércoles,Roja,#E63946,Terminal Rojo Sur,-16.53074224055618,-68.11974390832208,540,67.5
2025-10-29,13,Miércoles,Roja,#E63946,Parque Urbano,-16.5207223456547,-68.11471825051039,316,39.5
2025-10-29,13,Miércoles,Roja,#E63946,Pura Pura,-16.504308665433353,-68.11220642318018,320,40.0
2025-10-29,13,Miércoles,Roja,#E63946,Ceja El Alto Norte,-16.496664884522957,-68.11565536025759,614,76.8
2025-10-29,14,Miércoles,Roja,#E63946,Terminal Rojo Sur,-16.530918262767468,-68.11966212987386,566,70.8
2025-10-29,14,Miércoles,Roja,#E63946,Parque Urbano,-16.520645979031446,-68.11582259493248,333,41.6
2025-10-29,14,Miércoles,Roja,#E63946,Pura Pura,-16.504078442463936,-68.11358733256318,316,39.5
2025-10-29,14,Miércoles,Roja,#E63946,Ceja El Alto Norte,-16.49699316545829,-68.11461921034274,598,74.8
2025-10-29,15,Miércoles,Roja,#E63946,Terminal Rojo Sur,-16.529158255198936,-68.11987784408029,570,71.2
2025-10-29,15,Miércoles,Roja,#E63946,Parque Urbano,-16.519387597440414,-68.11450348061923,273,34.1
2025-10-29,15,Miércoles,Roja,#E63946,Pura Pura,-16.504581301353326,-68.11325905579442,265,33.1
2025-10-29,15,Miércoles,Roja,#E63946,Ceja El Alto Norte,-16.49676349045694,-68.11526217272086,510,63.7
2025-10-29,16,Miércoles,Roja,#E63946,Terminal Rojo Sur,-16.529505058123732,-68.11992663359422,645,80.6
2025-10-29,16,Miércoles,Roja,#E63946,Parque Urbano,-16.51957330082823,-68.11420958632462,345,43.1
2025-10-29,16,Miércoles,Roja,#E63946,Pura Pura,-16.503935773029472,-68.11378565597732,374,46.8
2025-10-29,16,Miércoles,Roja,#E63946,Ceja El Alto Norte,-16.49693476546709,-68.11551505899273,642,80.2
2025-10-29,17,Miércoles,Roja,#E63946,Terminal Rojo Sur,-16.530355841668836,-68.119577103986,674,84.2
2025-10-29,17,Miércoles,Roja,#E63946,Parque Urbano,-16.52076047573636,-68.11421894543851,427,53.4
2025-10-29,17,Miércoles,Roja,#E63946,Pura Pura,-16.503641795361712,-68.11242165752279,463,57.9
2025-10-29,17,Miércoles,Roja,#E63946,Ceja El Alto Norte,-16.497826159423823,-68.11492578691636,788,98.5
2025-10-29,18,Miércoles,Roja,#E63946,Terminal Rojo Sur,-16.529509121051632,-68.11913668090754,853,100.0
2025-10-29,18,Miércoles,Roja,#E63946,Parque Urbano,-16.5204324481884,-68.1152738354072,422,52.8
2025-10-29,18,Miércoles,Roja,#E63946,Pura Pura,-16.503858443390662,-68.1132878065482,495,61.9
2025-10-29,18,Miércoles,Roja,#E63946,Ceja El Alto Norte,-16.496788450361286,-68.11552554641652,952,100.0
2025-10-29,19,Miércoles,Roja,#E63946,Terminal Rojo Sur,-16.530429809662614,-68.11965325280941,678,84.8
2025-10-29,19,Miércoles,Roja,#E63946,Parque Urbano,-16.520839532508678,-68.11495097722086,478,59.8
2025-10-29,19,Miércoles,Roja,#E63946,Pura Pura,-16.503035242766185,-68.11377592219566,416,52.0
2025-10-29,19,Miércoles,Roja,#E63946,Ceja El Alto Norte,-16.49606105913345,-68.11426898574821,725,90.6
2025-10-29,20,Miércoles,Roja,#E63946,Terminal Rojo Sur,-16.53048419434591,-68.11965822482522,571,71.4
2025-10-29,20,Miércoles,Roja,#E63946,Parque Urbano,-16.519141248021743,-68.11488647421396,313,39.1
2025-10-29,20,Miércoles,Roja,#E63946,Pura Pura,-16.504440041812682,-68.11246101413361,304,38.0
2025-10-29,20,Miércoles,Roja,#E63946,Ceja El Alto Norte,-16.49735264152719,-68.11514912712276,472,59.0
2025-10-29,21,Miércoles,Roja,#E63946,Terminal Rojo Sur,-16.529778759915118,-68.11942273889352,265,33.1
2025-10-29,21,Miércoles,Roja,#E63946,Parque Urbano,-16.52069127456945,-68.11503771979629,175,21.9
2025-10-29,21,Miércoles,Roja,#E63946,Pura Pura,-16.504896352926355,-68.11332679144361,173,21.6
2025-10-29,21,Miércoles,Roja,#E63946,Ceja El Alto Norte,-16.497873250059055,-68.11402007953521,267,33.4
2025-10-29,22,Miércoles,Roja,#E63946,Terminal Rojo Sur,-16.529380251108293,-68.11949071869047,168,21.0
2025-10-29,22,Miércoles,Roja,#E63946,Parque Urbano,-16.51947954428022,-68.11480872251877,107,13.4
2025-10-29,22,Miércoles,Roja,#E63946,Pura Pura,-16.504176318171705,-68.11330226346692,100,12.5
2025-10-29,22,Miércoles,Roja,#E63946,Ceja El Alto Norte,-16.496338761184425,-68.11406994617866,201,25.1
2025-10-30,5,Jueves,Roja,#E63946,Terminal Rojo Sur,-16.53063753386767,-68.11986700746526,93,11.6
2025-10-30,5,Jueves,Roja,#E63946,Parque Urbano,-16.51985105377364,-68.11431634244647,50,6.2
2025-10-30,5,Jueves,Roja,#E63946,Pura Pura,-16.503409465376283,-68.1135967453599,42,5.2
2025-10-30,5,Jueves,Roja,#E63946,Ceja El Alto Norte,-16.49767146840414,-68.11437085055954,74,9.2
2025-10-30,6,Jueves,Roja,#E63946,Terminal Rojo Sur,-16.529953869150464,-68.11928233903176,452,56.5
2025-10-30,6,Jueves,Roja,#E63946,Parque Urbano,-16.520215109785156,-68.11436680112105,274,34.2
2025-10-30,6,Jueves,Roja,#E63946,Pura Pura,-16.50424611114115,-68.11307464042866,242,30.2
2025-10-30,6,Jueves,Roja,#E63946,Ceja El Alto Norte,-16.496504781239647,-68.11499455921981,405,50.6
2025-10-30,7,Jueves,Roja,#E63946,Terminal Rojo Sur,-16.529912894277775,-68.11818705577807,898,100.0
2025-10-30,7,Jueves,Roja,#E63946,Parque Urbano,-16.520766203918583,-68.11412033575277,551,68.9
2025-10-30,7,Jueves,Roja,#E63946,Pura Pura,-16.504330188770687,-68.11372145585467,552,69.0
2025-10-30,7,Jueves,Roja,#E63946,Ceja El Alto Norte,-16.496759854488143,-68.11493307781605,1012,100.0
2025-10-30,8,Jueves,Roja,#E63946,Terminal Rojo Sur,-16.529422805577553,-68.11969665024053,1107,100.0
2025-10-30,8,Jueves,Roja,#E63946,Parque Urbano,-16.52050302172037,-68.11451210741485,533,66.6
2025-10-30,8,Jueves,Roja,#E63946,Pura Pura,-16.50386022063026,-68.11247508262852,486,60.8
2025-10-30,8,Jueves,Roja,#E63946,Ceja El Alto Norte,-16.49731583650257,-68.11435748539066,1102,100.0
2025-10-30,9,Jueves,Roja,#E63946,Terminal Rojo Sur,-16.530700165145305,-68.11954149720954,805,100.0
2025-10-30,9,Jueves,Roja,#E63946,Parque Urbano,-16.519559926926906,-68.11471770473422,450,56.2
2025-10-30,9,Jueves,Roja,#E63946,Pura Pura,-16.503914551113308,-68.11349640188219,447,55.9
2025-10-30,9,Jueves,Roja,#E63946,Ceja El Alto Norte,-16.497636804566397,-68.11418309887733,705,88.1
2025-10-30,10,Jueves,Roja,#E63946,Terminal Rojo Sur,-16.530198297166475,-68.11907598839271,523,65.4
2025-10-30,10,Jueves,Roja,#E63946,Parque Urbano,-16.520693297193766,-68.11482754033597,330,41.2
2025-10-30,10,Jueves,Roja,#E63946,Pura Pura,-16.50377709152913,-68.11396377963236,292,36.5
2025-10-30,10,Jueves,Roja,#E63946,Ceja El Alto Norte,-16.49613576343503,-68.11486973363282,567,70.9
2025-10-30,11,Jueves,Roja,#E63946,Terminal Rojo Sur,-16.530694921914172,-68.11884742327966,555,69.4
2025-10-30,11,Jueves,Roja,#E63946,Parque Urbano,-16.520151738657393,-68.11452711152874,308,38.5
2025-10-30,11,Jueves,Roja,#E63946,Pura Pura,-16.50314886297419,-68.1130983212572,337,42.1
2025-10-30,11,Jueves,Roja,#E63946,Ceja El Alto Norte,-16.496030317602074,-68.1143222038271,462,57.8
2025-10-30,12,Jueves,Roja,#E63946,Terminal Rojo Sur,-16.529158316234767,-68.11826020727588,591,73.9
